id,name,x_location,y_location,description,cost,money_trickle,closeness,trickle,force
P001,Northeastern University,-0.27225,-0.24225,An intense research facility! We can funnel money to them and it will decrease every single of the apocalypse!! It is very costly though and it will keep taking money from you...,100000000,-100000,A001_-10 ;A002_-10 ;A003_-10 ;A004_-10 ;A005_-10 ;A006_-10 ;A007_-10,A001_-0.5 ;A002_-0.5 ;A003_-0.5 ;A004_-0.5 ;A005_-0.5 ;A006_-0.5 ;A007_-0.5,
P002,Google Headquarters,-0.427083,-0.19583,This is where a bulk of the AI research is being conducted; we need to funnel money to make sure that they don't get out of hand! They also will make us money with ad revenue! ,10000000,100000,A004_-20,,
P003,HAARP Research Facility,-0.4666,-0.354166,This facility is researching the ionosphere and the capabilities of what can be done with that. It will help us further our forces against environmental damage and aliens; but it will also further the AI apocalypse ,100000000,0,A004_15,,A005_25; A006_25; A007_25
P004,Secret Animal Testing Facility,-0.063541,-0.302083,This animal testing facility is unknown to the people of the United Kingdom. We can fund them to help understand the potential ape population better. No money will come of it though. ,25000000,0,A001_-5,A001_-1,
P005,Indian Opioid Crisis Center,0.183333,-0.045833,This is an emergency crisis center. For a large fee; they will decrease the opioid crisis in the world; no questions asked. Warning: This will also increase how fast it increases.,250000000,0,A007_-100,A007_3,
P006,Australia Private Health Crisis Center,0.408333,0.239583,This is our own global health crisis center. These are our forces for biomedical emergencies like addiction and diseases. The technologies they use will increase the trickle of certain other apocalypses; however...,50000000,0,A001_5; A004_5,,A002_25; A003_25
P007,Spanish Health Research Institute,-0.078125,-0.216666,This will help our global health by studying diseases and viruses and what cause them. Will slow the incoming diseases and push them back. However; it will increase opioid chances. ,50000000,50000,A007_10,A002_-20;A003_-20,
P008,Russia,0.0729166,-0.341666,This is our private intelligence office where we have been recruiting the best russian hackers money can buy. This will help spread propaganda and help defend against potential artificial intelligence and will massively boost our money trickle!! ,10000000,500000,,,A004_25
P009,Tokyo Mystery Box!,0.360416,-0.179166,Who knows what this will do? This could do anything. Japan could increase our forces to 100 or completely eliminate the apocalypses altogether!,500000000,0,,,
P010,Johnson Space Center,-0.3635416,-0.1541666,This facility is helping us detect aliens and better prepare for their arrival. People also love this place and it will give back some money trickle!,40000000,250000,A005_-5;A003_10,A005_-0.5;A006_0.1,
P011,The White House,-0.2969166,-0.20775,This is where we will be able to set some policies that will help with the environment; artificial intelligence; opioid crisis; and the global health.  (They also will boost our military and intelligence forces a decent amount!) This; however will decrease our money trickle dramatically as the U.S is massively in debt.,100000000,-1000000,A003_-10; A004_-15; A006_-5; A007_-30,A003_-1; A004_-1; A006_-1; A007_-5,A001_10; A002_10; A004_10; A005_10
P012,Madagascar Private Environment Protection Center,0.084375,0.2,This is our own privately owned environment protection agency. It will help us build up forces against environmental destruction. However; it will increase the chances of certain diseases,50000000,0,A002_10;A003_10,A002_1;A003_0.5,A006_50
P013,Brazil Private Military Base,-0.221875,0.0916666,This is our own privately owned military base; where we can build up our forces to quell potentially unavoidable militant conflict. ,25000000,0,A003_10; A007_5,,A001_20; A002_20; A004_20; A005_20
